,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
86,86,[[5394601]],[[32948224]],[6972619.827495604],[13601369.867345499],[13529006.198314708],[35502279.6899412],[81229047.69205442],[1516686811.152518],[4880995323.437456],[5510060062.101628],[0.512640998333237],[0.05355690251590513],[0.3810742948472647],[0.8858334153213865]
87,87,[[5168981]],[[32974848]],[6483809.2002470195],[12752072.281537661],[12680821.131912533],[34025767.48531006],[78234781.89445217],[1536973269.219724],[4946395921.852763],[5482185756.474695],[0.5084514153542105],[0.05090184940833074],[0.3726828832703692],[0.9022671141726379]
88,88,[[4896748]],[[32940032]],[5841764.034672263],[12113315.652563713],[12047853.393515151],[33954856.4040587],[76371529.7022199],[1580981888.847161],[5085008631.771497],[5489925767.371598],[0.48225970512341826],[0.04830639126290649],[0.3548197421348848],[0.9262436046026971]
89,89,[[4697583]],[[32950272]],[5773459.060980037],[11707980.462388467],[11639264.456549896],[32213777.166364413],[73712226.31543444],[1607532023.9688828],[5170648078.430972],[5499851839.42831],[0.4931216856337521],[0.04585428172898489],[0.3613132479448228],[0.9401431582870499]
90,90,[[6268253]],[[32978944]],[8569499.869459327],[15970488.549439844],[15892813.18655626],[40320091.775937654],[90926899.99805163],[1469315767.3024843],[4725766749.521676],[5510394042.544569],[0.5365834515913978],[0.061883838737390166],[0.39416609651768747],[0.8576095852737655]
91,91,[[5833357]],[[32970752]],[7960774.61615415],[14801184.935814435],[14723296.172501514],[37213005.5451968],[84707323.36334424],[1479444911.0620377],[4758441021.567675],[5466998761.655591],[0.5378471149895209],[0.05725615244607928],[0.39564920803345044],[0.8703936527190027]
92,92,[[5524746]],[[32970752]],[7299947.056707734],[13368309.37275173],[13303419.328524075],[35096095.47525403],[81249481.93721311],[1471871292.7586746],[4727603920.258779],[5360120241.005291],[0.546063593619925],[0.05520148557618117],[0.3790569619889542],[0.8819958709307081]
93,93,[[5171402]],[[32976896]],[6806431.608890281],[13078429.04506428],[13006009.941167016],[34422673.75170498],[78761978.88331337],[1542188044.6042087],[4957229825.087369],[5477519171.690434],[0.520431894796951],[0.051071579214276075],[0.37783264702158176],[0.90501368771248]
94,94,[[4983665]],[[32946176]],[6042439.155650384],[12447049.132234275],[12379580.987359306],[34969072.26884188],[79458346.16273995],[1611928276.8051374],[5178408103.225852],[5538396914.718402],[0.48545153887134623],[0.049293971267895004],[0.3540151392117358],[0.9350012617304707]
95,95,[[4719743]],[[32968704]],[5565102.481228369],[11976887.0014857],[11913430.328817373],[33907907.44649325],[76295946.17229316],[1638254535.0803385],[5261515469.208595],[5534243612.803617],[0.4646535014096763],[0.046571484795890815],[0.35134666884462834],[0.9507198882672859]
96,96,[[6504081]],[[32987136]],[8396519.61337585],[15990920.314622967],[15910103.273825295],[41774232.46274915],[94619517.11934346],[1487114437.5908923],[4776316958.367631],[5532608729.417632],[0.5250804486654602],[0.06362625143538109],[0.3808592602631928],[0.8633028634342611]
97,97,[[5983262]],[[32964608]],[7504946.707092226],[14412125.137686115],[14334312.65730657],[37966639.791486815],[87479813.9272239],[1497588307.0939622],[4809766982.9609785],[5490649807.909995],[0.5207383807310706],[0.058413793372209616],[0.37755020554968166],[0.875992305324569]
98,98,[[5474190]],[[32929792]],[6792975.641474219],[12767213.445403142],[12690099.844861677],[33451881.71161586],[77959713.53751059],[1427768157.104077],[4585005830.631633],[5224874788.79059],[0.5320640772963691],[0.054602501918543433],[0.3793538418634057],[0.8775341067441984]
99,99,[[5390318]],[[32968704]],[6627662.448577094],[13054157.409224177],[12979795.437934032],[35938472.617970474],[83337831.92944409],[1573843258.3854048],[5048593590.444172],[5524847541.381002],[0.5077051119280921],[0.05295179903425695],[0.36116714185131193],[0.9137978111848883]
100,100,[[5141487]],[[32966656]],[5666894.559697753],[12213708.327467244],[12147982.275284987],[34697106.19480176],[80298222.68813585],[1618618748.2768946],[5187057066.280545],[5475537586.769734],[0.4639782126574572],[0.049609102065336606],[0.3501151423718722],[0.9473146671139232]
101,101,[[4868966]],[[33005568]],[5768401.2823867155],[11823985.116825955],[11754777.56890819],[33350083.303318124],[77287030.93325141],[1623246996.565905],[5202377191.775195],[5488856790.459765],[0.48785593227600343],[0.04761261292751975],[0.35246621311253706],[0.9478070553448391]
102,102,[[6386914]],[[32983040]],[8019773.359801557],[15243829.117989358],[15163994.397879831],[40748671.8231293],[95927345.91101421],[1448455356.8011045],[4646658120.892478],[5470178801.72052],[0.526099662868653],[0.06622734035991869],[0.3721346910078335],[0.8494526942027887]
103,103,[[5892641]],[[32962560]],[7307935.456713535],[14181593.99996716],[14105000.787219353],[38343044.212596685],[90655120.52630804],[1483297427.9886103],[4753369420.021815],[5489061825.538072],[0.5153112870619804],[0.06111729098677043],[0.36786335245091195],[0.8659711934572464]
104,104,[[5531750]],[[32960512]],[6799600.302466326],[13455872.504723478],[13381107.683065932],[38389665.57979637],[90728578.63359545],[1530912671.149619],[4899032741.916849],[5502396265.768076],[0.5053258568018856],[0.05926437238609045],[0.348560152347566],[0.8903453159844343]
105,105,[[5300710]],[[33007616]],[6197679.107055037],[12403694.514619118],[12333129.906712266],[35533194.9583359],[83968841.1385666],[1511377150.2384858],[4832600515.370651],[5311943808.814293],[0.49966395897209426],[0.05555783420790558],[0.3470875591450011],[0.9097612266439545]
106,106,[[5126233]],[[32952320]],[5986392.471146819],[12232706.201410063],[12163382.586940294],[37270433.55258776],[86344631.16510285],[1600990061.9620044],[5111484007.459815],[5497272530.059942],[0.48937597066271143],[0.05393202195102197],[0.3263547382613092],[0.9298218306459112]
107,107,[[4897495]],[[33013760]],[5565814.753560529],[11669908.393762464],[11605115.744974628],[35184515.16294229],[82948682.98674135],[1629303839.636792],[5197033766.422482],[5484138482.051154],[0.4769373131099678],[0.05091050605099688],[0.3298358863616683],[0.9476481645078205]
