,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
15,15,[[1545342]],[[33009664]],[11286702.69535127],[13928856.111016009],[13860183.338872107],[23760571.540396996],[51488123.11615993],[1239013197.7949355],[3947522013.933947],[5519527634.726631],[0.8103108112679029],[0.041555750340507305],[0.5833270178416141],[0.7151920010505497]
16,16,[[1239542]],[[32964608]],[11326541.940457279],[13704190.329424348],[13635099.74605609],[22458371.514179565],[48409055.15813984],[1210909915.0584059],[3854509717.228953],[5441295852.0892],[0.8265020893746633],[0.03997742074463477],[0.6071277134874754],[0.7083808383161161]
17,17,[[1033886]],[[32944128]],[11590004.217015412],[13773378.892156128],[13702346.280165495],[21946698.31118849],[47492076.862555936],[1213797057.9034085],[3863560644.2861814],[5522546051.341624],[0.8414786457095044],[0.0391268676697808],[0.6243465912674436],[0.699597723290616]
18,18,[[6071229]],[[32958464]],[9727303.436603794],[15437728.6910159],[15356034.605575878],[38444876.148963876],[87229598.21070136],[1425730611.932564],[4587776044.474504],[5498932294.930625],[0.6300993903503869],[0.06118238430222277],[0.39942994083464456],[0.8343030607421553]
19,19,[[3255030]],[[32960512]],[10943801.318005687],[15151485.151324125],[15083192.054542124],[30809323.803682335],[65322422.93213017],[1319145695.875843],[4210498133.454458],[5407773490.034375],[0.7222923171362697],[0.04951873256786813],[0.48956582593803566],[0.7786010529497406]
20,20,[[2195158]],[[32978944]],[11947958.116192253],[15147482.215627318],[15080680.663224095],[27567394.834269658],[57150828.527991876],[1290046349.1927276],[4106082993.10488],[5461488707.354126],[0.7887751869327704],[0.04430137612013332],[0.5470477262681694],[0.7518248618871747]
21,21,[[1661597]],[[32952320]],[12519381.41174883],[15178899.97417115],[15107667.31713356],[26551323.95955963],[53709397.45328442],[1261670687.3099144],[4011172594.2285533],[5464069629.481667],[0.8247884519334185],[0.04257006047101049],[0.5689986435382309],[0.7340998314856874]
22,22,[[1329850]],[[32905216]],[12599908.390382962],[14969887.241336334],[14899265.58237664],[25280205.275519446],[50792208.45697293],[1247037175.0569458],[3961549560.511882],[5423641187.213373],[0.8416835870073122],[0.04073030818399901],[0.5893648971594633],[0.7304225010038499]
23,23,[[1107810]],[[32968704]],[11893292.492852341],[13816843.761974692],[13750839.204343917],[23154071.00512027],[45862260.62540695],[1132899936.784637],[3595934879.9167714],[5020028162.636596],[0.8607821509557666],[0.04048218129093718],[0.5938842979838435],[0.7163176706220172]
24,24,[[6213678]],[[32954368]],[9640729.022189016],[15378525.243473502],[15296615.88224085],[39680061.19606332],[90800488.68872039],[1445698182.4891064],[4647323049.9877615],[5509285112.698367],[0.6268955487965563],[0.06280736172219999],[0.38549879766209727],[0.843543754756154]
